nombre,sector,cohorte,descripcion,slug
Suncast,IA,SEPT26,Suncast entrega pronósticos de generación de energías renovables,suncast
TuFinca,Construcción,SEPT26,El software que transforma la administración de fincas,tufinca
MiFood,IA,SEPT26,MiFood comercializa robots para la automatización agrícola.,mifood
OFFLOVIN,Salud,SEPT26,El futuro de la gestión y la operativa de las clínicas privadas.,offlovin
Fraktal Software,IA,SEPT26,Plataforma de ejecución de proyectos software para empresas,fraktal-software
Coach Court,IA,SEPT26,Coach Court centraliza el baloncesto en una sola plataforma.,coach-court
Misclub.es,Salud,SEPT26,Misclub conecta a personas con centros deportivos de su ciudad,misclub-es
FIDEX,Cripto,SEPT26,Banca privada especializada en activos digitales estables.,fidex
SuperSocial,Retail,SEPT26,SuperSocial es una plataforma de IA para ecommerce,supersocial
Project Robin,Educación,SEPT26,Robin es una plataforma tecnológica de orientación universitaria,project-robin
Upcars,Movilidad,SEPT26,Gestión de flotas de renting especializado para PYMES.,upcars
Isla23,Educación,SEPT26,Convierte eventos presenciales en el canal de ventas más rentable,isla23
Solvia,Salud,SEPT26,Solvia es el billete del talento sanitario hacia Europa,solvia
Kylia,IA,SEPT26,Kylia democratiza el campo con IA y satélites sin usar hardware.,kylia
LOVEOBSESSED,Ecommerce,SEPT26,LOVEOBSESSED viste a una nueva generación que busca estilo propio,loveobsessed
Anzy Home,Ecommerce,SEPT26,Decoración para el hogar y productos infantiles,anzy-home
ABNER,Movilidad,SEPT26,Soluciones de negocio para escalar operaciones en el sector VTC,abner
Versedia,Salud,SEPT26,Versedia evita que se pierdan las historias de nuestros mayores.,versedia
Ace Serve,Ecommerce,SEPT26,Ace Serve impulsa el voleibol a través de soluciones innovadoras.,ace-serve
837CRAFTS,Movilidad,SEPT26,"Barcos que vuelan, literalmente",837crafts
Aithority,IA,SEPT26,Automatiza el cumplimiento de AI Act de manera continua,aithority
SymBiontics,Deeptech,SEPT26,Biológicos más eficientes que los agroquímicos,symbiontics
FIBTRAY,Alimentación,SEPT26,Fibtray desarrolla envases alimentarios de papel.,fibtray
For You Print,Retail,SEPT26,Aporta soluciones de impresión al sector de la personalización,for-you-print
Wellbeinn,Salud,SEPT26,Wellbeinn es una startup de tecnología para la longevidad,wellbeinn
Aurvex AI,IA,SEPT26,Agentes de voz con IA para la gestión comercial de inmobiliarias.,aurvex-ai
Revista FIUM,Ecommerce,SEPT26,FIUM publica una revista trimestral de historia de la Fórmula 1,revista-fium
ARP Certificate,Educación,SEPT26,ARP Certificate audita y certifica programas de formación online.,arp-certificate
Kora,IA,SEPT26,"Kora, el cerebro de la energía del hogar",kora
Persianas Online,Construcción,SEPT26,"Aporta automatización, bienestar y seguridad a los hogares",persianas-online
Pilotium,Salud,SEPT26,Automatiza con IA la captación de socios para gimnasios y fitness,pilotium
vonsel,Deeptech,SEPT26,Convierte Google Maps en tu máquina de ventas con IA,vonsel
Datawifi,IA,SEPT26,Location analytics que convierte datos de visitantes en acción.,datawifi
X-Emotos,Movilidad,SEPT26,El HUB de las motos eléctricas off road.,x-emotos
Windfit,Salud,SEPT26,"Windfit une entrenamiento, bienestar y longevidad en sus centros.",windfit
Verdecer,Alimentación,SEPT26,Pastoreo autónomo: menos pienso y más animales por hectárea.,verdecer
Datadope,IA,SEPT26,Datadope: IA operacional autónoma para infraestructuras críticas,datadope
Ventor Innovations,Deeptech,SEPT26,Drones biomiméticos para control aviar y vigilancia ecointegrada,ventor-innovations
TRATO,IA,SEPT26,TRATO transforma los contratos en activos vivos,trato
Aerth Labs,Deeptech,SEPT26,"Great for humans, tech for evolution.",aerth-labs
AdinHub,Educación,SEPT26,Plataforma de creación y distribución de contenidos formativos,adinhub
Systratec,Sin definir,SEPT26,Instrumentos avanzados para medir el peso y el centro de gravedad,systratec
Esquí Sarrios,Salud,SEPT26,Escuela de esquí alpino en Pirineos y centro indoor en Madrid,esqui-sarrios
OTAI Akham,IA,SEPT26,"OTAI, monitorización de ciberseguridad industrial incorporando IA",otai-akham
Golsmedia,Gaming,SEPT26,Medio de comunicación digital especializado en el fútbol regional,golsmedia
WatermelonCo,Sin definir,SEPT26,WMCO recauda regalías de música globales de forma transparente.,watermelonco
Suplai Sales,IA,SEPT26,Transforma distribuidoras tradicionales en inteligentes con IA,suplai-sales-ia-para-distribuidores-inteligentes
Caos Brand,Retail,SEPT26,"Marca de bolsos atemporales y en tendencia, para el día a día.",caos-brand
VYNE,IA,SEPT26,La consultora que reinventa la selección de talento cualificado.,vyne
Billber,Sin definir,SEPT26,Agencia de growth en transición hacia un producto digital.,billber
Voone,IA,SEPT26,"Voone conecta voz, chat, CRM y automatización en un solo sistema",voone
STILARO,Ecommerce,SEPT26,Stilaro es un probador virtual para tiendas de ropa online,stilaro
A3D Building,Construcción,SEPT26,A3D imprime edificios en 3D con hormigón y tecnología propia,a3d-building
CIS Robotics,Deeptech,SEPT26,CIS Robotics crea robots a medida para retos complejos.,cis-robotics
SIYA,Educación,SEPT26,SIYA es una plataforma de IA para evaluación en colegios.,siya
Crosscheck Verificación,IA,SEPT26,Plataforma de verificación de inquilinos para inmobiliarias,crosscheck-verificacion
THEKER,Sin definir,SEPT26,Sin descripción publicada en la ficha.,theker
Reglapp,IA,SEPT26,Reglapp desarrolla IA para automatizar la gestión de autónomos.,reglapp
HackBlock,Sin definir,SEPT26,HackBlock reduce el riesgo humano en ciberseguridad para empresas,hackblock
Ploid AI,IA,SEPT26,Agente de IA para la investigación en biotecnología.,ploid-ai
MOWLabs,Salud,SEPT26,Fabricamos incubadoras neonatales para países en desarrollo.,mowlabs
TuriaDesign AI,IA,SEPT26,"Despliega agentes de IA en producción para PyMEs, en semanas.",turiadesign-ai
Singular Things,Deeptech,SEPT26,Ingeniería electrónica soberana para una Industria 5.0 confiable,singular-things
Picuco,Turismo,SEPT26,"Toda experiencia turística, descubrible y reservable online",picuco
Outs World,Construcción,SEPT26,Outs World empresa de diseño y construcción de exteriores premium,outs-world
TalentAds,IA,SEPT26,Captación de talento mediante publicidad digital,talentads
QURE,Salud,SEPT26,QURE es un centro sanitario de entrenamiento y fisioterapia.,qure
Olorama,Deeptech,SEPT26,Olorama Technology sincroniza aromas con imagen y sonido.,olorama
Weekend Solutions,Salud,SEPT26,Soluciones inteligentes para transformar procesos complejos.,weekend-solutions
Obelance,IA,SEPT26,Obelance automatiza tareas manuales de pymes mediante IA,obelance
NOUS,Deeptech,SEPT26,Infraestructura de gobernanza de sistemas de IA,nous
Trika App,IA,SEPT26,"Entrenamiento, nutrición e IA. Todo en una app.",trika-app
Sherpapp,Educación,SEPT26,Mide el estudio fuera de clase y anticipa el abandono.,sherpapp
NasApp,Deeptech,SEPT26,"NasApp monitoriza, gestiona y reduce el impacto de los olores",nasapp
Saca,Finanzas,SEPT26,Saca simplifica la burocracia en España desde una sola plataforma,saca
PanaVoIP,IA,SEPT26,La solución de las telecomunicaciones en tu empresa,panavoip
NanoFreeze Inc,Deeptech,SEPT26,Una nueva forma de refrigerar naturalmente,nanofreeze-inc
MUTE Garage,Movilidad,SEPT26,MUTE ofrece motos eléctricas por suscripción mensual flexible.,mute-garage
Stadio,Turismo,SEPT26,Stadio es una startup danesa de turismo deportivo,stadio
Monolegal,IA,SEPT26,Agentes de inteligencia artificial para abogados,monolegal
Momento Guitarra,Educación,SEPT26,Escuela online de guitarra clásica para adultos.,momento-guitarra
Mobbiz,Sin definir,SEPT26,Mobbiz gobierna la ejecución de tus procesos operativos,mobbiz
Mimosa Blu,Ecommerce,SEPT26,Estudio y marca de diseño de joyería,mimosa-blu
Miinta,Salud,SEPT26,Mejoramos el bienestar emocional de las nuevas generaciones.,miinta
Tapstar,IA,SEPT26,Tapstar aumenta y gestiona las reseñas de negocios físicos,tapstar
Midatec,Deeptech,SEPT26,Diseña y fabrica sensores industriales en España.,midatec
ThinRemote,IA,SEPT26,Es una plataforma de mantenimiento remoto de equipos conectados,thinremote
QCSolutions,Deeptech,SEPT26,QCSolutions protege a las empresas frente al riesgo cuántico.,qcsolutions
Wemigo,Salud,SEPT26,Wemigo conecta adultos para crear amistades genuinas en persona.,wemigo
Marina García,Retail,SEPT26,Marina García crea tendencia y moda en joyería.,marina-garcia
Kensight,IA,SEPT26,Kensight transforma datos industriales en decisiones inteligentes,kensight
EnergyApp,Sin definir,SEPT26,EnergyApp analiza facturas de luz para ayudarte a ahorrar.,energyapp
Noetia,IA,SEPT26,SaaS para gestionar y redactar licitaciones públicas,noetia
International Medicine Group,Salud,SEPT26,IMG da acceso al grado de Medicina en inglés sin nota de corte,international-medicine-group
iaLicitaciones,IA,SEPT26,Plataforma para encontrar y preparar licitaciones públicas con IA,ialicitaciones
Instrumentomania,Retail,SEPT26,Transforma la compra de un instrumento en una experiencia única.,instrumentomania
Hi European Youth,IA,SEPT26,Ayuda a entidades socioeducativas a acceder a financiación europea,hi-european-youth-hey
Innovare Genetics,Deeptech,SEPT26,Innovare Genetics convierte genomas en decisiones clínicas,innovare-genetics
Modoru Biotech,Deeptech,SEPT26,Protección de cultivos frente a virus con biopesticidas de ARN,modoru-biotech
HistARy,Turismo,SEPT26,HistARy convierte el turismo cultural en experiencias inmersivas.,histary
DiscoRuta,Turismo,SEPT26,Plataforma para descubrir el mejor ocio nocturno de España.,discoruta
LLUQUIIIIII,Ecommerce,SEPT26,"Puzzles dignos de enmarcar, y un packaging que no se tira.",lluquiiiiii
Bektor,IA,SEPT26,Plantilla digital de IA que opera negocios de alquiler.,bektor
Zerion,Ecommerce,SEPT26,Dan el control a las empresas de su evolución con tecnología,zerion
Autix,Movilidad,SEPT26,Autix es el ERP SaaS con IA que digitaliza el taller mecánico.,autix
Griky,Educación,SEPT26,Fábrica líder de cursos virtuales a la medida para universidades,griky
Metaqare,Salud,SEPT26,El criterio de los mejores médicos del mundo al alcance de todos,metaqare
Functor,IA,SEPT26,"Plataforma de datos moderna, para empresas, soberana y privada",functor
Sykah,IA,SEPT26,Trabajadores virtuales para la Industria 5.0,sykah
KISEKI,IA,SEPT26,El software de ejecución estratégica para CEOs,kiseki
MagicPack,Alimentación,SEPT26,Solución innovadora para el envasado de alimentos.,magicpack
Filmer,Ecommerce,SEPT26,SaaS de creadores UGC e influencers impulsado por IA y datos,filmer
Gaia Camp,Educación,SEPT26,Campamento de verano,gaia-camp
Dentista Ideal,Salud,SEPT26,Plataforma IA de marketing y gestión para clínicas dentales,dentista-ideal
Delego,Retail,SEPT26,La plataforma que optimiza las operaciones de campo.,delego
Cumpleo,Ecommerce,SEPT26,Software de cumplimiento normativo para pymes y autónomos,cumpleo
Crecerank,IA,SEPT26,Logra que ChatGPT recomiende tu marca.,crecerank
Koltao,Sin definir,SEPT26,Te ayudamos a vender y comprar espacios con vídeos.,koltao
Farmagrow,Salud,SEPT26,Plataforma que conecta a la industria farmacéutica.,farmagrow
Bueno's Instaladores,Construcción,SEPT26,"Empresa instaladora y mantenedora eléctrica, de teleco y de clima",buenos-instaladores
GlobeArea,Sin definir,SEPT26,Plataforma de inteligencia geoespacial,globearea
BRAMBAS,Retail,SEPT26,Brambas es una marca de calzado barefoot con estilo,brambas
Bonding,Salud,SEPT26,"Conecta a las familias con actividades, experiencias y cursos.",bonding
HRBlade,Sin definir,SEPT24,Herramienta que automatiza los procesos de selección de personal,hrblade
Algori,Sin definir,SEPT24,Panel de hogares más grande de España,algori
CoCircular,Sin definir,MAR26,La solución a la trazabilidad de los residuos,cocircular
SendingBay,Movilidad,MAR26,Software de logística modular para tiendas online y agencias,sendingbay
Aphlora,Salud,MAR26,Suplementos naturales para la salud hormonal femenina.,aphlora
STCW Cursos,Educación,MAR26,STCW Cursos es un marketplace especializado en formación marítima,stcw-cursos
LogisPro,Movilidad,MAR26,Plataforma SaaS integrada para optimizar envíos,logispro
SISMOS,IA,MAR26,Visión artificial industrial para calidad cero defectos,sismos
Sherpa,Movilidad,MAR26,Sherpa convierte tu viaje en un envío para otra persona.,sherpa
Select Store,Retail,MAR26,Concept store especializada en sneakers exclusivos y streetwear,select-store
